nom_station;nbre_pdc;puissance_nominale;gratuit;consolidated_longitude;consolidated_latitude
OuestCharge - E-Twin - Saint-Hilaire-de-Loulay - Giraudet;2;22;false;-1.33125;47.00351
"Balleroy-sur-Drôme; Rue du Sapin";2;22;false;-0.834075;49.182762
CCTLB VAXAINVILLE;2;22000;false;6.753659;48.515558
Intermarché ANNEYRON;3;22;false;4.8975764;45.2742357
"Riorges; Parking Place Jean Cocteau";2;22;false;4.0350391;46.0434068
SIEG63 - ePremium - Clermont Ferrand - Salins;2;25;false;3.080522;45.771753
Paris | Avenue Ledru Rollin 104;5;7;False;2.376434;48.85189
Firalp - MONTEREAU SUR LE JARD;2;25;false;2.6623570502624494;48.614318800000014
Paris | Rue de la Convention 171;5;7;False;2.2943442;48.838314
TRIEL-SUR-SEINE - Rue Du Docteur Sobaux;2;22.0;false;2.005920886993408;48.980430603027344
"Saint-Antoine-L'Abbaye; Parking du Bourg";2;22;false;5.218808;45.174304
Paris | Rue Jules Romains 1;5;7;False;2.3782985;48.87274
ASNIERES-SUR-SEINE - Rue Sadi Carnot;6;3.7;false;2.2896320819854736;48.910030364990234
ROUSSON - Parking Stade Laurent Blanc;2;3.7;false;4.149620056152344;44.183502197265625
LABRUGUIERE - Rue De La Tuilerie;2;3.7;false;2.262089967727661;43.537628173828125
Kia Arles;4;24.00;false;4.641079;43.664734
McDonald's Decazeville;2;22.08;false;2.25653;44.559799
Villebon sur yvette;2;22;false;2.23;48.69
"Saint-Bonnet-Le-Froid; Places aux champignons";2;22;false;4.43568;45.1428
OuestCharge - Diva Sp - Paimboeuf - Sadi-Carnot;2;22;false;-2.027984;47.289456
GRASSE - Hôtel de Ville;2;3.4;false;6.925033092498779;43.65900802612305
Paris | Rue Houdart de Lamotte 2;6;3;False;2.2876;48.8407
"Le Lac-D'Issarlès; Le Village";2;22;false;4.06294;44.8161
FONT-ROMEU  - Avenue D'Espagne;2;3.7;false;2.0376739501953125;42.50433349609375
Volvo St Etienne;13;200.00;false;4.390843;45.448346
L'UNION - Rue Du Somport Parking Grande Halle;2;22.0;false;1.4814139604568481;43.655792236328125
TEMPLEMARS - Rue du Chevalier de la Barre;2;18;TRUE;3.054466;50.571842
TOULOUSE - Rue André SAVES - Parking P3;8;22;TRUE;1.408082;43.600326
FONT-ROMEU  - Avenue D'Espagne;2;22.0;false;2.0376739501953125;42.50433349609375
BELESTA - Av De Lavelanet / Rue Des Jardins;2;22;false;1.9318970441818237;42.90439224243164
ARPAILLARGUES ET AUREILLAC - Parking Pole Médical - Foyer;2;18;TRUE;4.374356;44.000128
WITTES - RDV 943;2;22;TRUE;2.392366;50.66732
Metropolis - Proximité - Rueil-Malmaison - Paul Doumer;1;7.00;false;2.191375;48.883647
COURCOME - PLACE DE LANCIENNE MAIRIE;2;22000;false;0.134252;45.987717
"Aubagne; Place du Souvenir Français";2;22;false;5.574552;43.292736
900105;2;22.0;false;0.942348;48.959934
Metropolis - Citadine - La Queue en Brie - Avenue du Maréchal Mortier;1;2.30;false;2.574213;48.789679
LACROUZETTE - Place Du Théron;2;3.7;false;2.348051071166992;43.66283416748047
Intermarché St André;3;50;false;2.970853;42.551997
OuestCharge - Diva Sp - Le Longeron - Bonnet;2;22;false;-1.061148;47.017144
Paris | Rue la Fayette 137;3;22;False;2.355064;48.8789
BAILLY - Rue Des chênes;2;22;TRUE;2.0787585;48.839752
"Fayence; Avenue Rene Cassin";2;22;false;6.696857;43.624273
ANTRAIN - RUE DE FOUGERES;2;50000;false;-1.480394;48.456085
MONTFORT SUR MEU - PLACE DE LA GARE;2;22000;false;-1.950056;48.138467
LABENNE - PARKING COTE PRESBYTERE;4;43000;false;-1.425559;43.595455
MONTCUQ - Place du faubourg st Privat;2;36.0;false;1.211874008178711;44.33831024169922
